geolocation_city,product_category_name,total_orders
buenopolis,moveis_decoracao,68
buenos aires,relogios_presentes,28
buenópolis,moveis_decoracao,14
buerarema,relogios_presentes,48
bugre,climatizacao,4
buique,telefonia,25
buri,informatica_acessorios,228
buritama,moveis_decoracao,505
buriti,instrumentos_musicais,26
buriti alegre,telefonia,21
buriti do tocantins,utilidades_domesticas,11
buriti dos lopes,automotivo,9
buriticupu,casa_construcao,96
buritirama,beleza_saude,25
buritirana,telefonia_fixa,4
buritis,informatica_acessorios,202
buritizal,esporte_lazer,35
buritizeiro,automotivo,332
butia,brinquedos,58
butiá,brinquedos,15
buzios,esporte_lazer,44
buíque,telefonia,2
bálsamo,cama_mesa_banho,36
búzios,esporte_lazer,60
caarapo,beleza_saude,76
caarapó,beleza_saude,19
cabaceiras do paraguacu,informatica_acessorios,4
cabaceiras do paraguaçu,informatica_acessorios,1
cabeceira grande,informatica_acessorios,26
cabeceiras,telefonia,16
cabedelo,cama_mesa_banho,31
cabixi,informatica_acessorios,11
cabo de santo agostinho,bebes,69
cabo frio,cama_mesa_banho,1659
cabo verde,beleza_saude,26
cabralia paulista,beleza_saude,16
cabreuva,cama_mesa_banho,162
cabreúva,cama_mesa_banho,36
cabrobo,cama_mesa_banho,70
cabrobó,cama_mesa_banho,18
cabrália paulista,beleza_saude,5
cacador,moveis_decoracao,985
cacapava,beleza_saude,382
cacapava do sul,cama_mesa_banho,174
cacaulandia,moveis_decoracao,6
cacaulândia,moveis_decoracao,1
cacequi,automotivo,98
caceres,moveis_escritorio,824
cachoeira,automotivo,29
cachoeira alta,telefonia,78
cachoeira da prata,malas_acessorios,26
cachoeira de minas,cool_stuff,86
cachoeira de pajeu,automotivo,21
cachoeira de pajeú,automotivo,7
cachoeira do brumado,cool_stuff,7
cachoeira do campo,casa_conforto,62
cachoeira do sul,esporte_lazer,442
cachoeira dourada,cool_stuff,16
cachoeira paulista,esporte_lazer,1422
cachoeiras de macacu,cama_mesa_banho,661
cachoeirinha,informatica_acessorios,748
cachoeiro de itapemirim,cama_mesa_banho,731
cacimbinhas,informatica_acessorios,7
cacoal,telefonia,48
caconde,cama_mesa_banho,294
cacu,beleza_saude,54
cacule,cama_mesa_banho,78
caculé,cama_mesa_banho,20
caem,beleza_saude,3
caetanopolis,beleza_saude,39
caetanópolis,beleza_saude,6
caete,beleza_saude,669
caetes,cama_mesa_banho,7
caetite,cama_mesa_banho,225
caetité,cama_mesa_banho,90
caeté,beleza_saude,132
caetés,cama_mesa_banho,4
cafeara,utilidades_domesticas,26
cafelandia,utilidades_domesticas,215
cafelândia,utilidades_domesticas,47
caiana,moveis_decoracao,13
caiaponia,beleza_saude,54
caiapônia,beleza_saude,6
caibate,telefonia,32
